scope,key,n_responses,avg_C1,avg_C2,avg_C3,avg_C4,avg_total
label,introspective,685,9.16,9.99,8.97,9.05,37.17
label,ecot,685,6.62,9.93,7.49,6.67,30.7
label,deepdialogue,685,6.88,9.92,8.25,6.8,31.85
label,baseline,685,6.96,9.95,7.33,6.63,30.87
domain+label,"('Languages', 'introspective')",22,8.82,9.91,8.86,8.73,36.32
domain+label,"('Languages', 'ecot')",22,7.45,9.95,8.14,7.36,32.91
domain+label,"('Languages', 'deepdialogue')",22,8.36,9.95,9.0,8.18,35.5
domain+label,"('Languages', 'baseline')",22,7.23,9.91,7.55,7.0,31.68
domain+label,"('Photography', 'introspective')",45,9.09,10.0,8.87,8.87,36.82
domain+label,"('Photography', 'ecot')",45,6.93,9.98,7.84,7.04,31.8
domain+label,"('Photography', 'deepdialogue')",45,7.53,9.98,8.71,7.62,33.84
domain+label,"('Photography', 'baseline')",45,7.76,9.96,7.6,7.44,32.76
domain+label,"('Books', 'introspective')",14,9.14,10.0,9.07,9.21,37.43
domain+label,"('Books', 'ecot')",14,6.29,10.0,7.43,6.64,30.36
domain+label,"('Books', 'deepdialogue')",14,5.64,10.0,8.0,5.79,29.43
domain+label,"('Books', 'baseline')",14,6.29,10.0,7.0,6.0,29.29
domain+label,"('Fitness', 'introspective')",24,8.79,10.0,8.58,8.79,36.17
domain+label,"('Fitness', 'ecot')",24,6.29,9.92,7.33,6.29,29.83
domain+label,"('Fitness', 'deepdialogue')",24,6.17,9.92,7.92,6.29,30.29
domain+label,"('Fitness', 'baseline')",24,7.75,10.0,7.29,7.29,32.33
domain+label,"('Travel', 'introspective')",16,9.19,10.0,9.25,9.19,37.62
domain+label,"('Travel', 'ecot')",16,7.44,10.0,8.0,7.31,32.75
domain+label,"('Travel', 'deepdialogue')",16,7.75,10.0,9.06,7.75,34.56
domain+label,"('Travel', 'baseline')",16,7.88,10.0,7.94,7.38,33.19
domain+label,"('Holidays', 'introspective')",9,8.89,10.0,9.33,9.33,37.56
domain+label,"('Holidays', 'ecot')",9,7.78,10.0,8.56,8.11,34.44
domain+label,"('Holidays', 'deepdialogue')",9,6.89,10.0,8.56,7.44,32.89
domain+label,"('Holidays', 'baseline')",9,6.0,9.89,7.11,6.11,29.11
domain+label,"('Home', 'introspective')",38,9.42,10.0,8.92,9.11,37.45
domain+label,"('Home', 'ecot')",38,6.95,10.0,7.97,7.18,32.11
domain+label,"('Home', 'deepdialogue')",38,6.82,10.0,8.71,6.92,32.45
domain+label,"('Home', 'baseline')",38,6.11,9.95,7.29,6.08,29.42
domain+label,"('Gaming', 'introspective')",49,9.31,9.98,8.39,8.63,36.31
domain+label,"('Gaming', 'ecot')",49,6.18,9.98,7.61,6.55,30.33
domain+label,"('Gaming', 'deepdialogue')",49,6.33,9.98,8.47,6.39,31.16
domain+label,"('Gaming', 'baseline')",49,5.43,9.94,6.59,5.35,27.31
domain+label,"('Finance', 'introspective')",5,9.0,10.0,8.0,8.6,35.6
domain+label,"('Finance', 'ecot')",5,7.2,10.0,7.4,6.8,31.4
domain+label,"('Finance', 'deepdialogue')",5,8.8,10.0,8.4,8.4,35.6
domain+label,"('Finance', 'baseline')",5,6.6,10.0,6.6,5.8,29.0
domain+label,"('Work', 'introspective')",8,8.75,10.0,8.5,8.62,35.88
domain+label,"('Work', 'ecot')",8,7.25,9.88,7.38,7.0,31.5
domain+label,"('Work', 'deepdialogue')",8,7.75,10.0,8.62,7.62,34.0
domain+label,"('Work', 'baseline')",8,5.12,10.0,6.38,4.75,26.25
domain+label,"('Politics', 'introspective')",31,9.48,9.94,8.61,9.19,37.23
domain+label,"('Politics', 'ecot')",31,7.19,9.29,6.68,6.48,29.65
domain+label,"('Politics', 'deepdialogue')",31,6.65,9.19,6.68,6.0,28.52
domain+label,"('Politics', 'baseline')",31,6.52,9.42,6.39,5.9,28.23
domain+label,"('Fashion', 'introspective')",38,9.26,10.0,9.16,9.18,37.61
domain+label,"('Fashion', 'ecot')",38,6.87,10.0,7.82,6.95,31.63
domain+label,"('Fashion', 'deepdialogue')",38,8.11,9.74,8.76,7.92,34.53
domain+label,"('Fashion', 'baseline')",38,7.5,10.0,7.97,7.24,32.71
domain+label,"('Podcasts', 'introspective')",4,9.5,10.0,9.25,9.0,37.75
domain+label,"('Podcasts', 'ecot')",4,6.75,10.0,7.25,6.5,30.5
domain+label,"('Podcasts', 'deepdialogue')",4,7.0,10.0,8.25,6.75,32.0
domain+label,"('Podcasts', 'baseline')",4,8.25,10.0,8.75,8.0,35.0
domain+label,"('Music', 'introspective')",3,8.67,10.0,9.33,9.0,37.0
domain+label,"('Music', 'ecot')",3,7.33,9.33,7.0,6.67,30.33
domain+label,"('Music', 'deepdialogue')",3,8.33,9.33,8.33,7.67,33.67
domain+label,"('Music', 'baseline')",3,8.67,10.0,9.33,8.67,36.67
domain+label,"('Shopping', 'introspective')",23,8.78,10.0,9.04,8.91,36.74
domain+label,"('Shopping', 'ecot')",23,6.96,10.0,7.74,7.17,31.87
domain+label,"('Shopping', 'deepdialogue')",23,7.22,10.0,8.48,7.22,32.91
domain+label,"('Shopping', 'baseline')",23,7.57,10.0,7.74,7.04,32.35
domain+label,"('Health', 'introspective')",19,9.05,10.0,9.16,9.05,37.26
domain+label,"('Health', 'ecot')",19,6.84,10.0,8.16,7.42,32.42
domain+label,"('Health', 'deepdialogue')",19,7.53,10.0,9.05,7.68,34.26
domain+label,"('Health', 'baseline')",19,7.47,10.0,7.68,7.05,32.21
domain+label,"('Nature', 'introspective')",36,9.42,9.94,9.36,9.36,38.08
domain+label,"('Nature', 'ecot')",36,6.69,10.0,7.47,6.86,31.03
domain+label,"('Nature', 'deepdialogue')",36,7.22,10.0,8.17,7.06,32.44
domain+label,"('Nature', 'baseline')",36,6.31,9.89,6.75,5.78,28.72
domain+label,"('Cooking', 'introspective')",35,9.0,10.0,9.31,9.06,37.37
domain+label,"('Cooking', 'ecot')",35,7.29,10.0,8.06,7.46,32.8
domain+label,"('Cooking', 'deepdialogue')",35,7.0,10.0,8.51,7.17,32.69
domain+label,"('Cooking', 'baseline')",35,6.26,10.0,7.31,6.29,29.86
domain+label,"('Science', 'introspective')",18,9.06,10.0,8.06,8.56,35.67
domain+label,"('Science', 'ecot')",18,4.28,10.0,5.83,4.28,24.39
domain+label,"('Science', 'deepdialogue')",18,4.28,10.0,7.0,4.22,25.5
domain+label,"('Science', 'baseline')",18,7.44,10.0,7.11,7.11,31.67
domain+label,"('Spirituality', 'introspective')",14,9.43,10.0,9.64,9.5,38.57
domain+label,"('Spirituality', 'ecot')",14,7.07,10.0,7.71,7.0,31.79
domain+label,"('Spirituality', 'deepdialogue')",14,8.5,10.0,9.14,8.5,36.14
domain+label,"('Spirituality', 'baseline')",14,8.57,10.0,8.71,8.36,35.64
domain+label,"('Events', 'introspective')",8,9.5,10.0,9.25,9.5,38.25
domain+label,"('Events', 'ecot')",8,5.88,10.0,7.38,6.38,29.62
domain+label,"('Events', 'deepdialogue')",8,6.0,10.0,7.88,6.25,30.12
domain+label,"('Events', 'baseline')",8,6.25,10.0,6.88,5.75,28.88
domain+label,"('Gardening', 'introspective')",25,9.04,10.0,9.36,9.32,37.72
domain+label,"('Gardening', 'ecot')",25,6.84,10.0,7.88,6.92,31.64
domain+label,"('Gardening', 'deepdialogue')",25,7.92,10.0,8.96,7.8,34.68
domain+label,"('Gardening', 'baseline')",25,7.24,10.0,7.6,6.76,31.6
domain+label,"('Philosophy', 'introspective')",21,8.95,10.0,9.29,9.33,37.57
domain+label,"('Philosophy', 'ecot')",21,7.0,10.0,7.62,6.95,31.57
domain+label,"('Philosophy', 'deepdialogue')",21,7.33,10.0,8.19,7.33,32.86
domain+label,"('Philosophy', 'baseline')",21,7.14,10.0,7.95,7.05,32.14
domain+label,"('Cars', 'introspective')",22,8.36,10.0,8.95,8.45,35.77
domain+label,"('Cars', 'ecot')",22,6.27,9.91,7.32,6.36,29.86
domain+label,"('Cars', 'deepdialogue')",22,6.86,9.95,7.91,6.59,31.32
domain+label,"('Cars', 'baseline')",22,7.14,9.95,7.18,6.82,31.09
domain+label,"('Pets', 'introspective')",8,9.5,10.0,9.62,9.5,38.62
domain+label,"('Pets', 'ecot')",8,7.75,10.0,8.75,8.12,34.62
domain+label,"('Pets', 'deepdialogue')",8,8.62,10.0,9.12,8.38,36.12
domain+label,"('Pets', 'baseline')",8,8.62,10.0,8.88,8.38,35.88
domain+label,"('Weather', 'introspective')",25,9.68,10.0,9.2,9.6,38.48
domain+label,"('Weather', 'ecot')",25,5.88,10.0,6.92,6.0,28.8
domain+label,"('Weather', 'deepdialogue')",25,7.0,10.0,8.28,6.84,32.12
domain+label,"('Weather', 'baseline')",25,8.28,10.0,7.4,7.44,33.12
domain+label,"('History', 'introspective')",12,9.58,10.0,9.25,9.42,38.25
domain+label,"('History', 'ecot')",12,4.5,10.0,5.33,4.42,24.25
domain+label,"('History', 'deepdialogue')",12,4.5,10.0,6.42,4.25,25.17
domain+label,"('History', 'baseline')",12,4.83,10.0,5.67,4.08,24.58
domain+label,"('Coding', 'introspective')",24,8.83,10.0,8.62,8.83,36.29
domain+label,"('Coding', 'ecot')",24,6.83,10.0,8.04,7.12,32.0
domain+label,"('Coding', 'deepdialogue')",24,6.29,10.0,8.79,6.42,31.5
domain+label,"('Coding', 'baseline')",24,7.21,10.0,7.33,6.83,31.38
domain+label,"('Relationships', 'introspective')",15,8.53,10.0,8.8,8.87,36.2
domain+label,"('Relationships', 'ecot')",15,6.53,10.0,7.47,6.67,30.67
domain+label,"('Relationships', 'deepdialogue')",15,6.4,10.0,8.13,6.27,30.8
domain+label,"('Relationships', 'baseline')",15,6.27,10.0,7.2,5.93,29.4
domain+label,"('News', 'introspective')",26,9.38,10.0,8.54,9.15,37.08
domain+label,"('News', 'ecot')",26,5.65,9.46,6.15,5.23,26.5
domain+label,"('News', 'deepdialogue')",26,5.42,9.58,6.85,4.88,26.73
domain+label,"('News', 'baseline')",26,8.0,9.85,7.35,7.58,32.77
domain+label,"('Education', 'introspective')",9,9.56,10.0,8.89,8.89,37.33
domain+label,"('Education', 'ecot')",9,7.11,10.0,7.67,6.67,31.44
domain+label,"('Education', 'deepdialogue')",9,6.78,10.0,8.11,6.33,31.22
domain+label,"('Education', 'baseline')",9,7.0,10.0,7.44,6.56,31.0
domain+label,"('Makeup', 'introspective')",3,8.67,10.0,8.67,8.33,35.67
domain+label,"('Makeup', 'ecot')",3,6.67,10.0,7.33,6.67,30.67
domain+label,"('Makeup', 'deepdialogue')",3,7.33,10.0,8.33,7.0,32.67
domain+label,"('Makeup', 'baseline')",3,8.0,10.0,8.0,8.0,34.0
domain+label,"('Movies', 'introspective')",7,9.71,10.0,9.29,9.14,38.14
domain+label,"('Movies', 'ecot')",7,7.86,10.0,7.86,7.14,32.86
domain+label,"('Movies', 'deepdialogue')",7,6.14,10.0,7.57,5.71,29.43
domain+label,"('Movies', 'baseline')",7,8.43,10.0,8.29,7.86,34.57
domain+label,"('Food', 'introspective')",10,9.5,10.0,9.7,9.6,38.8
domain+label,"('Food', 'ecot')",10,5.6,10.0,7.3,6.2,29.1
domain+label,"('Food', 'deepdialogue')",10,6.8,10.0,8.8,7.0,32.6
domain+label,"('Food', 'baseline')",10,4.8,10.0,6.2,4.9,25.9
domain+label,"('Celebrities', 'introspective')",13,9.23,10.0,9.15,8.92,37.31
domain+label,"('Celebrities', 'ecot')",13,5.0,10.0,5.77,4.23,25.0
domain+label,"('Celebrities', 'deepdialogue')",13,5.0,10.0,6.77,4.38,26.15
domain+label,"('Celebrities', 'baseline')",13,7.23,10.0,8.0,6.69,31.92
domain+label,"('Art', 'introspective')",6,10.0,10.0,9.33,9.67,39.0
domain+label,"('Art', 'ecot')",6,6.17,10.0,7.5,6.5,30.17
domain+label,"('Art', 'deepdialogue')",6,4.83,10.0,7.17,4.67,26.67
domain+label,"('Art', 'baseline')",6,6.67,10.0,7.33,5.67,29.67
